fecha,combustible,precio,tipo_cambio
2013-02-08,Búnker,22.72,7.87695
2013-02-08,Diésel,31.71,7.87695
2013-02-08,GLP,99.0,7.87695
2013-02-08,Regular,32.67,7.87695
2013-02-08,Superior,34.08,7.87695
2013-02-11,Búnker,22.85,7.87651
2013-02-11,Diésel,31.71,7.87651
2013-02-11,GLP,99.0,7.87651
2013-02-11,Regular,32.67,7.87651
2013-02-11,Superior,34.08,7.87651
2013-02-12,Búnker,22.85,7.8432
2013-02-12,Diésel,31.71,7.8432
2013-02-12,GLP,99.0,7.8432
2013-02-12,Regular,32.67,7.8432
2013-02-12,Superior,34.08,7.8432
2013-02-13,Búnker,22.85,7.82537
2013-02-13,Diésel,31.71,7.82537
2013-02-13,GLP,99.0,7.82537
2013-02-13,Regular,32.67,7.82537
2013-02-13,Superior,34.08,7.82537
2013-02-14,Búnker,22.85,7.82847
2013-02-14,Diésel,31.71,7.82847
2013-02-14,GLP,99.0,7.82847
2013-02-14,Regular,32.67,7.82847
2013-02-14,Superior,34.08,7.82847
2013-02-15,Búnker,22.85,7.85718
2013-02-15,Diésel,32.58,7.85718
2013-02-15,GLP,99.0,7.85718
2013-02-15,Regular,33.61,7.85718
2013-02-15,Superior,35.0,7.85718
2013-02-19,Búnker,22.85,7.8147
2013-02-19,Diésel,32.77,7.8147
2013-02-19,GLP,99.0,7.8147
2013-02-19,Regular,33.81,7.8147
2013-02-19,Superior,35.3,7.8147
2013-02-20,Búnker,22.85,7.82213
2013-02-20,Diésel,32.77,7.82213
2013-02-20,GLP,99.0,7.82213
2013-02-20,Regular,33.81,7.82213
2013-02-20,Superior,35.3,7.82213
2013-02-21,Búnker,22.85,7.81524
2013-02-21,Diésel,32.77,7.81524
2013-02-21,GLP,99.0,7.81524
2013-02-21,Regular,33.81,7.81524
2013-02-21,Superior,35.3,7.81524
2013-02-22,Búnker,22.85,7.80269
2013-02-22,Diésel,32.77,7.80269
2013-02-22,GLP,99.0,7.80269
2013-02-22,Regular,33.81,7.80269
2013-02-22,Superior,35.3,7.80269
2013-02-25,Búnker,22.85,7.78788
2013-02-25,Diésel,33.09,7.78788
2013-02-25,GLP,99.0,7.78788
2013-02-25,Regular,34.25,7.78788
2013-02-25,Superior,35.72,7.78788
2013-02-26,Búnker,22.85,7.78912
2013-02-26,Diésel,33.09,7.78912
2013-02-26,GLP,99.0,7.78912
2013-02-26,Regular,34.25,7.78912
2013-02-26,Superior,35.72,7.78912
2013-02-27,Búnker,22.85,7.82737
2013-02-27,Diésel,33.09,7.82737
2013-02-27,GLP,99.0,7.82737
2013-02-27,Regular,34.25,7.82737
2013-02-27,Superior,35.72,7.82737
2013-02-28,Búnker,22.85,7.83436
2013-02-28,Diésel,33.09,7.83436
2013-02-28,GLP,99.0,7.83436
2013-02-28,Regular,34.25,7.83436
2013-02-28,Superior,35.72,7.83436
2013-03-01,Búnker,22.85,7.84107
2013-03-01,Diésel,33.09,7.84107
2013-03-01,GLP,99.0,7.84107
2013-03-01,Regular,34.25,7.84107
2013-03-01,Superior,35.72,7.84107
2013-03-04,Búnker,22.85,7.8375
2013-03-04,Diésel,33.09,7.8375
2013-03-04,GLP,99.0,7.8375
2013-03-04,Regular,34.25,7.8375
2013-03-04,Superior,35.72,7.8375
2013-03-05,Búnker,22.85,7.83145
2013-03-05,Diésel,33.09,7.83145
2013-03-05,GLP,99.0,7.83145
2013-03-05,Regular,34.25,7.83145
2013-03-05,Superior,35.72,7.83145
2013-03-06,Búnker,22.85,7.82034
2013-03-06,Diésel,33.09,7.82034
2013-03-06,GLP,99.0,7.82034
2013-03-06,Regular,34.25,7.82034
2013-03-06,Superior,35.72,7.82034
2013-03-07,Búnker,22.85,7.79946
2013-03-07,Diésel,33.09,7.79946
2013-03-07,GLP,99.0,7.79946
2013-03-07,Regular,34.25,7.79946
2013-03-07,Superior,35.72,7.79946
2013-03-08,Búnker,22.85,7.79491
2013-03-08,Diésel,33.09,7.79491
2013-03-08,GLP,109.00000000000001,7.79491
2013-03-08,Regular,34.25,7.79491
2013-03-08,Superior,35.72,7.79491
2013-03-11,Búnker,22.42,7.80799
2013-03-11,Diésel,31.69,7.80799
2013-03-11,GLP,109.00000000000001,7.80799
2013-03-11,Regular,33.23,7.80799
2013-03-11,Superior,34.69,7.80799
2013-03-12,Búnker,22.42,7.80167
